index,tensor
53,"[4.0, 3.5, 3590.0, 5334.0, 2.0, 0.0, 2.0, 3.0, 9.0, 3140.0, 450.0, 47.6763000488, -122.266998291, 2100.0, 6250.0, 9.0, 0.0, 0.0]"
54,"[5.0, 2.0, 2300.0, 7897.0, 2.5, 0.0, 0.0, 4.0, 8.0, 2300.0, 0.0, 47.7555999756, -122.3560028076, 2030.0, 7902.0, 59.0, 0.0, 0.0]"
55,"[3.0, 1.5, 1780.0, 16000.0, 1.0, 0.0, 0.0, 2.0, 7.0, 1240.0, 540.0, 47.4189987183, -122.3219985962, 1860.0, 9775.0, 54.0, 0.0, 0.0]"
56,"[3.0, 1.75, 1320.0, 9675.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1320.0, 0.0, 47.5694999695, -121.9020004272, 1160.0, 9675.0, 44.0, 0.0, 0.0]"
57,"[3.0, 1.5, 1670.0, 3852.0, 2.0, 0.0, 3.0, 4.0, 8.0, 1670.0, 0.0, 47.6411018372, -122.3710021973, 2320.0, 4572.0, 87.0, 0.0, 0.0]"
58,"[3.0, 3.25, 1720.0, 1587.0, 2.5, 0.0, 2.0, 3.0, 9.0, 1410.0, 310.0, 47.6186981201, -122.2990036011, 1490.0, 1620.0, 11.0, 0.0, 0.0]"
59,"[4.0, 2.5, 1620.0, 8125.0, 2.0, 0.0, 0.0, 4.0, 7.0, 1620.0, 0.0, 47.6254997253, -122.0589981079, 1480.0, 8120.0, 32.0, 0.0, 0.0]"
60,"[3.0, 2.5, 1730.0, 3600.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1730.0, 0.0, 47.5013999939, -122.3399963379, 2030.0, 3600.0, 0.0, 0.0, 0.0]"
61,"[4.0, 2.5, 2930.0, 5973.0, 2.0, 0.0, 0.0, 3.0, 10.0, 2930.0, 0.0, 47.384601593, -122.1859970093, 3038.0, 7095.0, 7.0, 0.0, 0.0]"
62,"[4.0, 2.5, 2009.0, 5000.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2009.0, 0.0, 47.2577018738, -122.1979980469, 2009.0, 5182.0, 0.0, 0.0, 0.0]"
63,"[2.0, 1.0, 750.0, 4000.0, 1.0, 0.0, 0.0, 4.0, 6.0, 750.0, 0.0, 47.5546989441, -122.2720031738, 1120.0, 5038.0, 89.0, 0.0, 0.0]"
64,"[2.0, 1.5, 1160.0, 1269.0, 2.0, 0.0, 0.0, 3.0, 7.0, 970.0, 190.0, 47.6608009338, -122.3349990845, 1700.0, 3150.0, 9.0, 0.0, 0.0]"
65,"[3.0, 1.0, 1160.0, 3700.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1160.0, 0.0, 47.5651016235, -122.3590011597, 1340.0, 3750.0, 105.0, 0.0, 0.0]"
66,"[2.0, 1.0, 700.0, 8100.0, 1.0, 0.0, 0.0, 3.0, 6.0, 700.0, 0.0, 47.7491989136, -122.3109970093, 1230.0, 8100.0, 65.0, 0.0, 0.0]"
67,"[3.0, 1.0, 1530.0, 4944.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1530.0, 0.0, 47.6856994629, -122.341003418, 1500.0, 4944.0, 64.0, 0.0, 0.0]"
68,"[4.0, 2.5, 1820.0, 3899.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1820.0, 0.0, 47.7350006104, -121.9850006104, 1820.0, 3899.0, 16.0, 0.0, 0.0]"
69,"[3.0, 1.0, 1100.0, 5400.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1100.0, 0.0, 47.6604003906, -122.3960037231, 1770.0, 4400.0, 106.0, 0.0, 0.0]"
70,"[3.0, 1.5, 1260.0, 10350.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1260.0, 0.0, 47.6357002258, -122.1230010986, 1800.0, 10350.0, 55.0, 0.0, 0.0]"
71,"[4.0, 1.0, 1220.0, 5120.0, 1.5, 0.0, 0.0, 5.0, 6.0, 1220.0, 0.0, 47.2050018311, -121.9960021973, 1540.0, 7670.0, 75.0, 0.0, 0.0]"
72,"[3.0, 1.0, 1030.0, 3000.0, 1.0, 0.0, 0.0, 3.0, 7.0, 830.0, 200.0, 47.6813011169, -122.3170013428, 1830.0, 3000.0, 90.0, 0.0, 0.0]"
73,"[4.0, 1.75, 2120.0, 9706.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1370.0, 750.0, 47.4939002991, -122.2969970703, 1730.0, 11337.0, 49.0, 0.0, 0.0]"
74,"[2.0, 2.25, 1061.0, 2884.0, 2.0, 0.0, 0.0, 3.0, 7.0, 1061.0, 0.0, 47.3460006714, -122.2180023193, 1481.0, 2887.0, 2.0, 0.0, 0.0]"
75,"[3.0, 3.0, 2230.0, 12968.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2230.0, 0.0, 47.6271018982, -122.1969985962, 2260.0, 10160.0, 25.0, 0.0, 0.0]"
76,"[4.0, 1.0, 1060.0, 5750.0, 1.0, 0.0, 0.0, 3.0, 6.0, 950.0, 110.0, 47.6562004089, -122.388999939, 1790.0, 5857.0, 110.0, 0.0, 0.0]"
77,"[4.0, 2.5, 1850.0, 8310.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1200.0, 650.0, 47.7717018127, -122.2900009155, 1840.0, 10080.0, 53.0, 0.0, 0.0]"
78,"[5.0, 3.5, 3060.0, 8862.0, 2.0, 0.0, 0.0, 3.0, 8.0, 3060.0, 0.0, 47.5321998596, -122.1849975586, 2680.0, 8398.0, 26.0, 0.0, 0.0]"
79,"[2.0, 1.0, 870.0, 8487.0, 1.0, 0.0, 0.0, 4.0, 6.0, 870.0, 0.0, 47.4954986572, -122.2389984131, 1350.0, 6850.0, 71.0, 0.0, 0.0]"
80,"[3.0, 1.0, 1240.0, 10800.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1240.0, 0.0, 47.5233001709, -122.1849975586, 1810.0, 10800.0, 55.0, 0.0, 0.0]"
81,"[3.0, 1.75, 2910.0, 37461.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1530.0, 1380.0, 47.701499939, -122.1640014648, 2520.0, 18295.0, 47.0, 0.0, 0.0]"
82,"[4.0, 1.75, 2320.0, 9240.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1160.0, 1160.0, 47.4908981323, -122.2570037842, 2130.0, 7320.0, 55.0, 1.0, 55.0]"
83,"[4.0, 2.5, 2510.0, 47044.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2510.0, 0.0, 47.7699012756, -122.0849990845, 2600.0, 42612.0, 27.0, 0.0, 0.0]"
84,"[2.0, 1.0, 720.0, 5000.0, 1.0, 0.0, 0.0, 5.0, 6.0, 720.0, 0.0, 47.5195007324, -122.3740005493, 810.0, 5000.0, 63.0, 0.0, 0.0]"
85,"[5.0, 3.25, 5790.0, 13726.0, 2.0, 0.0, 3.0, 3.0, 10.0, 4430.0, 1360.0, 47.5387992859, -122.1139984131, 5790.0, 13726.0, 0.0, 0.0, 0.0]"
86,"[3.0, 1.5, 1810.0, 8232.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1810.0, 0.0, 47.3194999695, -122.2730026245, 2260.0, 8491.0, 27.0, 0.0, 0.0]"
87,"[3.0, 2.25, 2206.0, 82031.0, 1.0, 0.0, 2.0, 3.0, 6.0, 866.0, 1340.0, 47.6301994324, -122.0690002441, 2590.0, 53024.0, 31.0, 0.0, 0.0]"
88,"[4.0, 1.0, 1060.0, 5750.0, 1.0, 0.0, 0.0, 3.0, 6.0, 950.0, 110.0, 47.6562004089, -122.388999939, 1790.0, 5857.0, 110.0, 0.0, 0.0]"
89,"[2.0, 1.75, 2080.0, 8112.0, 1.0, 1.0, 4.0, 4.0, 8.0, 1040.0, 1040.0, 47.7134017944, -122.2770004272, 2030.0, 8408.0, 75.0, 1.0, 45.0]"
90,"[3.0, 2.0, 1400.0, 6380.0, 1.0, 0.0, 0.0, 4.0, 7.0, 700.0, 700.0, 47.701499939, -122.3160018921, 1690.0, 5800.0, 91.0, 0.0, 0.0]"
91,"[6.0, 4.5, 3300.0, 7480.0, 2.0, 0.0, 0.0, 3.0, 8.0, 3300.0, 0.0, 47.679599762, -122.1039962769, 2470.0, 7561.0, 34.0, 0.0, 0.0]"
92,"[3.0, 1.75, 1660.0, 10440.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1040.0, 620.0, 47.4448013306, -121.7699966431, 1240.0, 10380.0, 36.0, 0.0, 0.0]"
93,"[4.0, 1.75, 1920.0, 7500.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1920.0, 0.0, 47.4221992493, -122.3180007935, 1490.0, 8000.0, 52.0, 0.0, 0.0]"
94,"[4.0, 2.5, 2420.0, 10603.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1210.0, 1210.0, 47.7397003174, -122.2590026855, 1750.0, 10800.0, 56.0, 0.0, 0.0]"
95,"[4.0, 2.0, 2180.0, 6000.0, 1.5, 0.0, 0.0, 3.0, 8.0, 2060.0, 120.0, 47.5957984924, -122.3059997559, 1370.0, 4500.0, 88.0, 0.0, 0.0]"
96,"[4.0, 1.0, 1330.0, 2400.0, 1.5, 0.0, 0.0, 4.0, 6.0, 1330.0, 0.0, 47.6500015259, -122.3399963379, 1330.0, 4400.0, 114.0, 0.0, 0.0]"
97,"[3.0, 1.5, 1010.0, 1546.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1010.0, 0.0, 47.5998001099, -122.3109970093, 1010.0, 1517.0, 44.0, 1.0, 43.0]"
98,"[3.0, 1.0, 1980.0, 3243.0, 1.5, 0.0, 0.0, 3.0, 8.0, 1980.0, 0.0, 47.6428985596, -122.327003479, 1380.0, 1249.0, 102.0, 0.0, 0.0]"
99,"[3.0, 2.5, 1680.0, 5000.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1680.0, 0.0, 47.3195991516, -122.3949966431, 1720.0, 5000.0, 27.0, 0.0, 0.0]"
100,"[5.0, 4.0, 1680.0, 7268.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1370.0, 310.0, 47.5570983887, -122.3560028076, 2040.0, 8259.0, 7.0, 0.0, 0.0]"
101,"[5.0, 2.75, 2130.0, 6222.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1300.0, 830.0, 47.5271987915, -122.2760009766, 2130.0, 6222.0, 23.0, 0.0, 0.0]"
102,"[2.0, 1.0, 920.0, 43560.0, 1.0, 0.0, 0.0, 4.0, 5.0, 920.0, 0.0, 47.5245018005, -121.9309997559, 1530.0, 11875.0, 91.0, 0.0, 0.0]"
103,"[3.0, 2.0, 2330.0, 4950.0, 1.5, 0.0, 0.0, 3.0, 6.0, 1430.0, 900.0, 47.5584983826, -122.2900009155, 1160.0, 5115.0, 114.0, 0.0, 0.0]"
104,"[4.0, 2.5, 2160.0, 7000.0, 2.0, 0.0, 0.0, 4.0, 9.0, 2160.0, 0.0, 47.5658988953, -122.0130004883, 2300.0, 7440.0, 25.0, 0.0, 0.0]"
105,"[3.0, 1.0, 1060.0, 10228.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1060.0, 0.0, 47.7481002808, -122.3000030518, 1570.0, 10228.0, 66.0, 0.0, 0.0]"
106,"[3.0, 1.75, 1850.0, 7684.0, 1.0, 0.0, 0.0, 3.0, 8.0, 1320.0, 530.0, 47.2975006104, -122.3700027466, 1940.0, 7630.0, 35.0, 0.0, 0.0]"
107,"[4.0, 2.0, 2240.0, 7725.0, 1.0, 0.0, 0.0, 5.0, 7.0, 1120.0, 1120.0, 47.5331001282, -122.3649978638, 1340.0, 6300.0, 58.0, 0.0, 0.0]"
108,"[6.0, 4.5, 3500.0, 8504.0, 2.0, 0.0, 0.0, 3.0, 7.0, 3500.0, 0.0, 47.7349014282, -122.2949981689, 1550.0, 8460.0, 35.0, 0.0, 0.0]"
109,"[4.0, 3.5, 3660.0, 4903.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2760.0, 900.0, 47.7183990479, -122.15599823, 3630.0, 4992.0, 0.0, 0.0, 0.0]"
110,"[3.0, 2.0, 1680.0, 81893.0, 1.0, 0.0, 0.0, 3.0, 7.0, 1680.0, 0.0, 47.324798584, -122.1790008545, 2480.0, 38637.0, 23.0, 0.0, 0.0]"
111,"[3.0, 2.5, 2370.0, 5353.0, 2.0, 0.0, 0.0, 3.0, 8.0, 2370.0, 0.0, 47.7332992554, -121.9749984741, 2130.0, 6850.0, 5.0, 0.0, 0.0]"
112,"[4.0, 3.25, 3940.0, 27591.0, 2.0, 0.0, 3.0, 3.0, 9.0, 3440.0, 500.0, 47.5157012939, -122.1159973145, 3420.0, 29170.0, 14.0, 0.0, 0.0]"
113,"[4.0, 2.5, 2810.0, 6146.0, 2.0, 0.0, 0.0, 3.0, 9.0, 2810.0, 0.0, 47.404499054, -122.2080001831, 2810.0, 6180.0, 16.0, 0.0, 0.0]"
114,"[3.0, 2.5, 1420.0, 1438.0, 2.0, 0.0, 0.0, 3.0, 9.0, 1280.0, 140.0, 47.626499176, -122.3229980469, 1490.0, 1439.0, 11.0, 0.0, 0.0]"
115,"[4.0, 1.0, 1460.0, 3840.0, 1.5, 0.0, 0.0, 3.0, 8.0, 1340.0, 120.0, 47.533000946, -122.3470001221, 990.0, 4200.0, 87.0, 0.0, 0.0]"
116,"[1.0, 1.0, 670.0, 5750.0, 1.0, 0.0, 0.0, 3.0, 7.0, 670.0, 0.0, 47.5624008179, -122.3939971924, 1170.0, 5750.0, 73.0, 1.0, 69.0]"
117,"[2.0, 1.0, 1010.0, 4000.0, 1.0, 0.0, 0.0, 3.0, 6.0, 1010.0, 0.0, 47.5536003113, -122.266998291, 1040.0, 4000.0, 103.0, 0.0, 0.0]"
118,"[3.0, 3.0, 2990.0, 9773.0, 2.0, 0.0, 0.0, 4.0, 8.0, 2990.0, 0.0, 47.6343994141, -122.1740036011, 2230.0, 11553.0, 42.0, 0.0, 0.0]"
119,"[3.0, 2.5, 2900.0, 23550.0, 1.0, 0.0, 0.0, 3.0, 10.0, 1490.0, 1410.0, 47.5708007812, -122.1529998779, 2900.0, 19604.0, 27.0, 0.0, 0.0]"
120,"[3.0, 3.25, 1720.0, 1587.0, 2.5, 0.0, 2.0, 3.0, 9.0, 1410.0, 310.0, 47.6186981201, -122.2990036011, 1490.0, 1620.0, 11.0, 0.0, 0.0]"
121,"[3.0, 1.5, 2120.0, 6290.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1220.0, 900.0, 47.5657997131, -122.3180007935, 1620.0, 5400.0, 65.0, 0.0, 0.0]"
122,"[4.0, 1.5, 1770.0, 6014.0, 1.5, 0.0, 0.0, 4.0, 7.0, 1240.0, 530.0, 47.5773010254, -122.3929977417, 1740.0, 6014.0, 68.0, 0.0, 0.0]"
123,"[4.0, 2.5, 3260.0, 5974.0, 2.0, 0.0, 1.0, 3.0, 9.0, 2820.0, 440.0, 47.6772003174, -122.266998291, 2260.0, 6780.0, 8.0, 0.0, 0.0]"
124,"[5.0, 2.0, 1900.0, 6000.0, 1.5, 0.0, 0.0, 4.0, 6.0, 1900.0, 0.0, 47.6831016541, -122.1859970093, 2110.0, 8400.0, 95.0, 0.0, 0.0]"
125,"[4.0, 2.5, 2460.0, 6454.0, 2.0, 0.0, 0.0, 3.0, 7.0, 2460.0, 0.0, 47.5381011963, -121.8899993896, 2320.0, 4578.0, 9.0, 0.0, 0.0]"
126,"[3.0, 2.5, 1800.0, 4357.0, 2.0, 0.0, 0.0, 3.0, 8.0, 1800.0, 0.0, 47.5336990356, -121.841003418, 1800.0, 3663.0, 2.0, 0.0, 0.0]"
127,"[4.0, 1.0, 1220.0, 5120.0, 1.5, 0.0, 0.0, 5.0, 6.0, 1220.0, 0.0, 47.2050018311, -121.9960021973, 1540.0, 7670.0, 75.0, 0.0, 0.0]"
128,"[4.0, 2.75, 2100.0, 11894.0, 1.0, 0.0, 0.0, 4.0, 8.0, 1720.0, 380.0, 47.6006011963, -122.1940002441, 2390.0, 9450.0, 46.0, 0.0, 0.0]"
129,"[4.0, 1.5, 1760.0, 6150.0, 1.5, 0.0, 0.0, 3.0, 7.0, 1760.0, 0.0, 47.3871002197, -122.2239990234, 1760.0, 8276.0, 63.0, 0.0, 0.0]"
130,"[3.0, 2.5, 2690.0, 7000.0, 2.0, 0.0, 0.0, 5.0, 7.0, 1840.0, 850.0, 47.6783981323, -122.2770004272, 1800.0, 6435.0, 71.0, 0.0, 0.0]"
131,"[4.0, 2.25, 2040.0, 12000.0, 1.0, 0.0, 0.0, 4.0, 7.0, 1300.0, 740.0, 47.7361984253, -122.2409973145, 1930.0, 12000.0, 52.0, 0.0, 0.0]"
