"Date","cust_known","StockCode","UnitPrice","UnitsSold"
2010-12-05,TRUE,"21033",2.95,2
2010-12-05,TRUE,"21929",1.95,6
2010-12-05,TRUE,"21930",1.95,6
2010-12-05,TRUE,"21931",1.95,9
2010-12-05,TRUE,"22385",1.95,5
2010-12-05,TRUE,"22386",1.95,17
2010-12-05,TRUE,"22663",1.95,2
2010-12-05,TRUE,"85099B",1.95,39
2010-12-05,TRUE,"85099C",1.95,20
2010-12-05,TRUE,"85099F",1.95,13
2010-12-06,FALSE,"20711",4.21,1
2010-12-06,FALSE,"20713",4.21,7
2010-12-06,FALSE,"21928",4.21,1
2010-12-06,FALSE,"21929",4.21,2
2010-12-06,FALSE,"21931",4.21,4
2010-12-06,FALSE,"22386",1.95,9
2010-12-06,FALSE,"22411",4.21,2
2010-12-06,FALSE,"85099B",4.21,8
2010-12-06,FALSE,"85099C",4.21,3
2010-12-06,FALSE,"85099F",4.21,1
2010-12-06,TRUE,"20711",1.95,10
2010-12-06,TRUE,"20712",1.95,11
2010-12-06,TRUE,"20713",1.95,15
2010-12-06,TRUE,"21033",2.95,2
2010-12-06,TRUE,"21928",1.95,14
2010-12-06,TRUE,"21929",1.95,2
2010-12-06,TRUE,"21930",1.95,15
2010-12-06,TRUE,"21931",1.95,34
2010-12-06,TRUE,"22385",1.95,3
2010-12-06,TRUE,"22386",1.95,11
2010-12-06,TRUE,"22411",1.95,22
2010-12-06,TRUE,"85099B",1.65,100
2010-12-06,TRUE,"85099B",1.95,49
2010-12-06,TRUE,"85099C",1.95,15
2010-12-06,TRUE,"85099F",1.95,21
2010-12-07,FALSE,"20711",4.21,32
2010-12-07,FALSE,"20712",4.21,2
2010-12-07,FALSE,"20712",5.06,11
2010-12-07,FALSE,"20713",1.95,2
2010-12-07,FALSE,"20713",4.21,2
2010-12-07,FALSE,"21033",5.49,2
2010-12-07,FALSE,"21033",5.91,1
2010-12-07,FALSE,"21928",4.21,1
2010-12-07,FALSE,"21929",5.06,10
2010-12-07,FALSE,"21930",4.21,20
2010-12-07,FALSE,"21931",4.21,4
2010-12-07,FALSE,"21931",5.06,20
2010-12-07,FALSE,"22385",1.95,3
2010-12-07,FALSE,"22385",5.06,2
2010-12-07,FALSE,"22386",4.21,2
2010-12-07,FALSE,"22386",5.06,7
2010-12-07,FALSE,"22411",1.95,1
2010-12-07,FALSE,"22411",4.21,26
2010-12-07,FALSE,"22663",1.95,3
2010-12-07,FALSE,"85099B",4.21,18
2010-12-07,FALSE,"85099C",1.95,1
2010-12-07,FALSE,"85099C",4.21,24
2010-12-07,FALSE,"85099f",5.06,8
2010-12-07,FALSE,"85099F",1.95,2
2010-12-07,FALSE,"85099F",4.21,1
2010-12-07,TRUE,"20712",1.95,20
2010-12-07,TRUE,"20713",1.95,1
2010-12-07,TRUE,"21033",2.95,1
2010-12-07,TRUE,"21928",1.95,21
2010-12-07,TRUE,"21929",1.95,52
2010-12-07,TRUE,"21930",1.95,42
2010-12-07,TRUE,"21931",1.95,1
2010-12-07,TRUE,"22385",1.95,22
2010-12-07,TRUE,"22386",1.95,5
2010-12-07,TRUE,"22411",1.95,51
2010-12-07,TRUE,"85099B",1.95,25
2010-12-07,TRUE,"85099C",1.95,41
2010-12-07,TRUE,"85099F",1.95,16
2010-12-08,FALSE,"20712",4.21,3
2010-12-08,FALSE,"20713",4.21,4
2010-12-08,FALSE,"21929",4.21,1
2010-12-08,FALSE,"21931",4.21,1
2010-12-08,FALSE,"22385",4.21,2
2010-12-08,FALSE,"22386",4.21,1
2010-12-08,FALSE,"22411",4.21,1
2010-12-08,FALSE,"85099B",4.21,4
2010-12-08,FALSE,"85099C",4.21,2
2010-12-08,FALSE,"85099F",4.21,1
2010-12-08,TRUE,"20711",1.65,100
2010-12-08,TRUE,"20711",1.95,10
2010-12-08,TRUE,"20712",1.65,100
2010-12-08,TRUE,"20712",1.95,1
2010-12-08,TRUE,"20713",1.95,30
2010-12-08,TRUE,"21928",1.95,10
2010-12-08,TRUE,"21929",1.65,100
2010-12-08,TRUE,"21929",1.95,14
2010-12-08,TRUE,"21930",1.95,20
2010-12-08,TRUE,"21931",1.65,100
2010-12-08,TRUE,"22385",1.65,100
2010-12-08,TRUE,"22385",1.95,10
2010-12-08,TRUE,"22386",1.95,12
2010-12-08,TRUE,"22411",1.65,100
2010-12-08,TRUE,"22411",1.95,13
2010-12-08,TRUE,"85099B",1.65,100
2010-12-08,TRUE,"85099B",1.95,101
2010-12-08,TRUE,"85099C",1.95,21
2010-12-08,TRUE,"85099F",1.65,100
2010-12-08,TRUE,"85099F",1.95,1
2010-12-09,FALSE,"20713",4.21,1
2010-12-09,FALSE,"21033",5.49,1
2010-12-09,FALSE,"22385",5.06,1
2010-12-09,FALSE,"22386",4.21,1
2010-12-09,FALSE,"22386",5.06,4
2010-12-09,FALSE,"22411",4.21,3
2010-12-09,FALSE,"22663",5.06,1
2010-12-09,FALSE,"85099B",4.21,7
2010-12-09,TRUE,"20712",1.95,1
2010-12-09,TRUE,"20713",1.95,25
2010-12-09,TRUE,"21928",1.95,2
2010-12-09,TRUE,"21929",1.95,2
2010-12-09,TRUE,"21930",1.95,10
2010-12-09,TRUE,"21931",1.95,23
2010-12-09,TRUE,"22385",1.95,11
2010-12-09,TRUE,"22386",1.95,13
2010-12-09,TRUE,"22411",1.95,1
2010-12-09,TRUE,"22663",1.95,1
2010-12-09,TRUE,"85099B",1.95,14
2010-12-09,TRUE,"85099C",1.95,2
2010-12-09,TRUE,"85099F",1.95,2
2010-12-10,FALSE,"20711",4.21,19
2010-12-10,FALSE,"20712",4.21,1
2010-12-10,FALSE,"20712",5.06,12
2010-12-10,FALSE,"21928",1.95,1
2010-12-10,FALSE,"21928",4.21,2
2010-12-10,FALSE,"21929",4.21,2
2010-12-10,FALSE,"21929",5.06,5
2010-12-10,FALSE,"21930",4.21,18
2010-12-10,FALSE,"21931",4.21,3
2010-12-10,FALSE,"21931",5.06,22
2010-12-10,FALSE,"22385",4.21,1
2010-12-10,FALSE,"22386",4.21,1
2010-12-10,FALSE,"22411",4.21,30
2010-12-10,FALSE,"85099B",4.21,5
2010-12-10,FALSE,"85099C",4.21,22
2010-12-10,FALSE,"85099f",5.06,3
2010-12-10,TRUE,"21928",1.65,100
2010-12-10,TRUE,"21928",1.95,15
2010-12-10,TRUE,"21929",1.95,15
2010-12-10,TRUE,"21931",1.95,10
2010-12-10,TRUE,"22411",1.95,30
2010-12-10,TRUE,"85099B",1.65,100
2010-12-10,TRUE,"85099B",1.95,20
2010-12-10,TRUE,"85099C",1.65,100
2010-12-10,TRUE,"85099C",1.95,10
2010-12-12,TRUE,"20712",1.95,3
2010-12-12,TRUE,"20713",1.95,5
2010-12-12,TRUE,"21033",2.95,3
2010-12-12,TRUE,"21928",1.95,6
2010-12-12,TRUE,"21929",1.95,2
2010-12-12,TRUE,"21931",1.95,7
2010-12-12,TRUE,"22385",1.95,4
2010-12-12,TRUE,"22386",1.95,4
2010-12-12,TRUE,"22411",1.95,2
2010-12-12,TRUE,"22663",1.95,3
2010-12-12,TRUE,"85099B",1.95,1
2010-12-12,TRUE,"85099C",1.95,8
2010-12-12,TRUE,"85099F",1.95,6
2010-12-13,FALSE,"20713",4.21,1
2010-12-13,FALSE,"21033",5.91,1
2010-12-13,FALSE,"21928",1.95,1
2010-12-13,FALSE,"21930",4.21,1
2010-12-13,FALSE,"21931",4.21,1
2010-12-13,FALSE,"22411",4.21,2
2010-12-13,FALSE,"85099B",4.21,6
2010-12-13,FALSE,"85099F",4.21,2
2010-12-13,TRUE,"20711",1.95,10
2010-12-13,TRUE,"20712",1.95,10
2010-12-13,TRUE,"20713",1.95,10
2010-12-13,TRUE,"21928",1.95,40
2010-12-13,TRUE,"21929",1.95,30
2010-12-13,TRUE,"21930",1.95,10
2010-12-13,TRUE,"21931",1.95,22
2010-12-13,TRUE,"22386",1.95,10
2010-12-13,TRUE,"22411",1.95,34
2010-12-13,TRUE,"85099B",1.95,22
2010-12-13,TRUE,"85099F",1.95,50
2010-12-14,FALSE,"20711",4.21,1
2010-12-14,FALSE,"20712",5.06,8
2010-12-14,FALSE,"21929",5.06,4
2010-12-14,FALSE,"21930",4.21,13
2010-12-14,FALSE,"21931",5.06,36
2010-12-14,FALSE,"22385",5.06,1
2010-12-14,FALSE,"22411",4.21,12
2010-12-14,FALSE,"85099B",4.21,6
2010-12-14,FALSE,"85099C",4.21,11
2010-12-14,FALSE,"85099f",5.06,1
2010-12-14,TRUE,"20711",1.95,10
2010-12-14,TRUE,"20712",1.95,20
2010-12-14,TRUE,"20713",1.95,30
2010-12-14,TRUE,"21033",2.95,3
2010-12-14,TRUE,"21928",1.95,20
2010-12-14,TRUE,"21929",1.95,22
2010-12-14,TRUE,"21930",1.95,10
2010-12-14,TRUE,"21931",1.95,36
2010-12-14,TRUE,"22385",1.95,10
2010-12-14,TRUE,"22386",1.95,11
2010-12-14,TRUE,"22411",1.95,50
2010-12-14,TRUE,"22663",1.95,7
2010-12-14,TRUE,"85099B",1.95,57
2010-12-14,TRUE,"85099C",1.95,40
2010-12-14,TRUE,"85099F",1.95,20
2010-12-15,TRUE,"20713",1.95,22
2010-12-15,TRUE,"21929",1.95,2
2010-12-15,TRUE,"21930",1.95,2
2010-12-15,TRUE,"21931",1.95,32
2010-12-15,TRUE,"22385",1.95,2
2010-12-15,TRUE,"22386",1.95,20
2010-12-15,TRUE,"22411",1.65,100
2010-12-15,TRUE,"22411",1.95,10
2010-12-15,TRUE,"85099B",1.95,80
2010-12-15,TRUE,"85099C",1.95,22
2010-12-15,TRUE,"85099F",1.95,20
2010-12-16,TRUE,"20711",1.95,40
2010-12-16,TRUE,"20712",1.95,20
2010-12-16,TRUE,"20713",1.95,40
2010-12-16,TRUE,"21033",2.95,10
2010-12-16,TRUE,"21928",1.95,60
2010-12-16,TRUE,"21929",1.65,100
2010-12-16,TRUE,"21929",1.95,22
2010-12-16,TRUE,"21930",1.95,40
2010-12-16,TRUE,"21931",1.95,44
2010-12-16,TRUE,"22385",1.95,20
2010-12-16,TRUE,"22386",1.95,40
2010-12-16,TRUE,"22411",1.95,22
2010-12-16,TRUE,"22663",1.95,30
2010-12-16,TRUE,"85099B",1.65,100
2010-12-16,TRUE,"85099B",1.95,110
2010-12-16,TRUE,"85099C",1.95,43
2010-12-16,TRUE,"85099F",1.65,100
2010-12-16,TRUE,"85099F",1.95,30
2010-12-17,FALSE,"20711",4.21,2
2010-12-17,FALSE,"20712",4.21,6
2010-12-17,FALSE,"20713",4.21,4
2010-12-17,FALSE,"21928",4.21,2
2010-12-17,FALSE,"21929",4.21,2
2010-12-17,FALSE,"21930",4.21,4
2010-12-17,FALSE,"21931",4.21,3
2010-12-17,FALSE,"22386",4.21,5
2010-12-17,FALSE,"22411",4.21,3
2010-12-17,FALSE,"85099B",4.21,15
2010-12-17,FALSE,"85099C",4.21,1
2010-12-17,FALSE,"85099F",4.21,6
2010-12-17,TRUE,"20712",1.95,30
2010-12-17,TRUE,"21928",1.95,10
2010-12-17,TRUE,"22385",1.95,10
2010-12-17,TRUE,"22386",1.95,20
2010-12-17,TRUE,"22411",1.95,10
2010-12-17,TRUE,"22663",1.95,10
2010-12-17,TRUE,"85099B",1.95,30
2010-12-17,TRUE,"85099C",1.95,20
2010-12-19,TRUE,"21929",1.95,1
2010-12-19,TRUE,"22386",1.95,1
2010-12-19,TRUE,"22411",1.95,1
2010-12-19,TRUE,"85099B",1.95,1
2010-12-20,FALSE,"20712",4.21,1
2010-12-20,FALSE,"20713",4.21,7
2010-12-20,FALSE,"21033",5.91,3
2010-12-20,FALSE,"21929",4.21,2
2010-12-20,FALSE,"21931",4.21,3
2010-12-20,FALSE,"22385",4.21,2
2010-12-20,FALSE,"85099B",4.21,5
2010-12-20,FALSE,"85099C",4.21,1
2010-12-20,FALSE,"85099F",4.21,7
2010-12-20,TRUE,"20713",1.95,20
2010-12-20,TRUE,"21928",1.95,10
2010-12-20,TRUE,"21931",1.95,21
2010-12-20,TRUE,"22663",1.95,1
2010-12-20,TRUE,"85099B",1.95,42
2010-12-20,TRUE,"85099C",1.95,1
2010-12-21,FALSE,"20711",4.21,9
2010-12-21,FALSE,"20712",5.06,24
2010-12-21,FALSE,"21033",5.49,3
2010-12-21,FALSE,"21928",5.06,9
2010-12-21,FALSE,"21929",5.06,7
2010-12-21,FALSE,"21930",4.21,20
2010-12-21,FALSE,"21931",5.06,35
2010-12-21,FALSE,"22385",1.95,1
2010-12-21,FALSE,"22385",5.06,3
2010-12-21,FALSE,"22386",5.06,9
2010-12-21,FALSE,"22411",4.21,34
2010-12-21,FALSE,"85099B",4.21,12
2010-12-21,FALSE,"85099C",4.21,5
2010-12-21,FALSE,"85099f",5.06,2
2010-12-21,TRUE,"21930",1.65,100
2010-12-21,TRUE,"22411",1.95,10
2010-12-21,TRUE,"85099B",1.65,100
2010-12-21,TRUE,"85099B",1.95,10
2010-12-21,TRUE,"85099C",1.65,100
2010-12-22,TRUE,"20711",1.95,9
2010-12-23,FALSE,"20712",5.06,1
2010-12-23,FALSE,"21033",2.51,26
2010-12-23,FALSE,"21929",5.06,4
2010-12-23,FALSE,"21930",4.21,4
2010-12-23,FALSE,"21931",5.06,3
2010-12-23,FALSE,"22411",4.21,2
2010-12-23,FALSE,"85099B",4.21,1
2010-12-23,FALSE,"85099f",5.06,1
2010-12-23,FALSE,"85099F",4.21,1
2010-12-23,TRUE,"20712",1.95,10
2010-12-23,TRUE,"22411",1.95,11
2010-12-23,TRUE,"85099B",1.95,10
2010-12-23,TRUE,"85099C",1.95,10
2011-01-04,FALSE,"21033",2.51,36
2011-01-04,FALSE,"21930",4.21,1
2011-01-04,TRUE,"20711",1.95,10
2011-01-04,TRUE,"20712",1.95,1
2011-01-04,TRUE,"20713",1.95,2
2011-01-04,TRUE,"21033",2.95,1
2011-01-04,TRUE,"21928",1.95,1
2011-01-04,TRUE,"21930",1.95,10
2011-01-04,TRUE,"21931",1.95,1
2011-01-04,TRUE,"22385",1.95,3
2011-01-04,TRUE,"22386",1.95,30
2011-01-04,TRUE,"22411",1.95,21
2011-01-04,TRUE,"85099B",1.95,27
2011-01-04,TRUE,"85099C",1.95,20
2011-01-04,TRUE,"85099F",1.95,10
2011-01-05,FALSE,"21033",2.51,6
2011-01-05,FALSE,"22411",4.21,1
2011-01-05,FALSE,"85099C",4.21,1
2011-01-05,FALSE,"85099F",4.21,1
2011-01-05,TRUE,"21928",1.65,100
2011-01-05,TRUE,"21928",1.95,16
2011-01-05,TRUE,"21929",1.65,200
2011-01-05,TRUE,"21929",1.95,20
2011-01-05,TRUE,"21931",1.65,100
2011-01-05,TRUE,"21931",1.95,10
2011-01-05,TRUE,"22385",1.65,100
2011-01-05,TRUE,"22386",1.65,200
2011-01-05,TRUE,"85099B",1.65,200
2011-01-05,TRUE,"85099B",1.95,36
2011-01-05,TRUE,"85099C",1.65,100
2011-01-05,TRUE,"85099C",1.95,16
2011-01-05,TRUE,"85099F",1.65,200
2011-01-05,TRUE,"85099F",1.95,26
2011-01-06,FALSE,"20712",5.06,22
2011-01-06,FALSE,"21033",2.51,8
2011-01-06,FALSE,"21929",5.06,9
2011-01-06,FALSE,"21930",4.21,7
2011-01-06,FALSE,"21931",5.06,44
2011-01-06,FALSE,"22411",4.21,37
2011-01-06,FALSE,"85099f",5.06,19
2011-01-06,FALSE,"85099F",4.21,1
2011-01-06,TRUE,"20711",1.95,10
2011-01-06,TRUE,"20712",1.95,62
2011-01-06,TRUE,"20713",1.95,20
2011-01-06,TRUE,"21928",1.95,3
2011-01-06,TRUE,"21929",1.95,12
2011-01-06,TRUE,"21930",1.95,3
2011-01-06,TRUE,"21931",1.95,15
2011-01-06,TRUE,"22385",1.95,14
2011-01-06,TRUE,"22386",1.95,45
2011-01-06,TRUE,"22411",1.95,6
2011-01-06,TRUE,"22663",1.95,10
2011-01-06,TRUE,"85099B",1.65,300
2011-01-06,TRUE,"85099B",1.95,54
2011-01-06,TRUE,"85099C",1.65,100
2011-01-06,TRUE,"85099C",1.95,65
2011-01-06,TRUE,"85099F",1.65,100
2011-01-06,TRUE,"85099F",1.95,4
2011-01-07,FALSE,"20711",4.21,1
2011-01-07,FALSE,"20713",4.21,4
2011-01-07,FALSE,"21033",2.51,23
2011-01-07,FALSE,"21929",4.21,1
2011-01-07,FALSE,"22386",4.21,4
2011-01-07,FALSE,"22411",4.21,1
2011-01-07,FALSE,"85099B",4.21,4
2011-01-07,TRUE,"20711",1.65,100
2011-01-07,TRUE,"20711",1.95,10
2011-01-07,TRUE,"21929",1.65,100
2011-01-07,TRUE,"21929",1.95,30
2011-01-07,TRUE,"21931",1.95,20
2011-01-07,TRUE,"22386",1.95,30
2011-01-07,TRUE,"85099B",1.65,100
2011-01-07,TRUE,"85099B",1.95,10
2011-01-07,TRUE,"85099C",1.65,200
2011-01-07,TRUE,"85099F",1.95,10
2011-01-09,TRUE,"20711",1.95,20
2011-01-09,TRUE,"20712",1.95,23
2011-01-09,TRUE,"20713",1.95,23
2011-01-09,TRUE,"21928",1.95,31
2011-01-09,TRUE,"21929",1.95,38
2011-01-09,TRUE,"21930",1.95,24
2011-01-09,TRUE,"21931",1.95,36
2011-01-09,TRUE,"22385",1.95,22
2011-01-09,TRUE,"22386",1.95,34
2011-01-09,TRUE,"22411",1.95,42
2011-01-09,TRUE,"22663",1.95,14
2011-01-09,TRUE,"85099B",1.95,43
2011-01-09,TRUE,"85099C",1.95,5
2011-01-09,TRUE,"85099F",1.95,32
2011-01-10,FALSE,"20712",4.21,2
2011-01-10,FALSE,"20713",4.21,8
2011-01-10,FALSE,"21033",2.51,40
2011-01-10,FALSE,"21929",4.21,1
2011-01-10,FALSE,"21930",4.21,2
2011-01-10,FALSE,"85099B",4.21,4
2011-01-10,FALSE,"85099C",4.21,3
2011-01-10,FALSE,"85099F",4.21,3
2011-01-10,TRUE,"20712",1.95,30
2011-01-10,TRUE,"20713",1.95,3
2011-01-10,TRUE,"21929",1.95,10
2011-01-10,TRUE,"21930",1.95,13
2011-01-10,TRUE,"21931",1.65,100
2011-01-10,TRUE,"21931",1.95,30
2011-01-10,TRUE,"22385",1.95,20
2011-01-10,TRUE,"22386",1.95,20
2011-01-10,TRUE,"22411",1.95,28
2011-01-10,TRUE,"85099B",1.95,53
2011-01-11,FALSE,"20712",4.96,33
2011-01-11,FALSE,"21033",2.51,7
2011-01-11,FALSE,"21929",4.21,1
2011-01-11,FALSE,"21929",4.96,27
2011-01-11,FALSE,"21930",4.13,41
2011-01-11,FALSE,"21931",4.96,64
2011-01-11,FALSE,"22411",4.13,68
2011-01-11,FALSE,"22411",4.21,1
2011-01-11,FALSE,"85099B",4.21,1
2011-01-11,FALSE,"85099C",4.21,5
2011-01-11,FALSE,"85099f",4.96,7
2011-01-11,FALSE,"85099f",5.06,1
2011-01-11,TRUE,"20711",1.95,10
2011-01-11,TRUE,"20712",1.95,20
2011-01-11,TRUE,"22386",1.95,10
2011-01-11,TRUE,"22663",1.95,10
2011-01-12,FALSE,"20712",4.21,1
2011-01-12,FALSE,"20713",4.21,5
2011-01-12,FALSE,"21033",2.51,28
2011-01-12,FALSE,"21930",4.21,1
2011-01-12,FALSE,"21931",4.21,3
2011-01-12,FALSE,"22385",4.21,4
2011-01-12,FALSE,"22386",4.21,3
2011-01-12,FALSE,"22411",4.21,1
2011-01-12,FALSE,"85099B",4.21,4
2011-01-12,FALSE,"85099C",4.21,2
2011-01-12,FALSE,"85099F",4.21,1
2011-01-12,TRUE,"20711",1.95,10
2011-01-12,TRUE,"85099C",1.95,10
2011-01-12,TRUE,"85099F",1.95,2
2011-01-13,FALSE,"20713",4.13,8
2011-01-13,FALSE,"21033",2.46,38
2011-01-13,FALSE,"21928",4.13,2
2011-01-13,FALSE,"21929",4.13,1
2011-01-13,FALSE,"21930",4.13,3
2011-01-13,FALSE,"21931",4.13,3
2011-01-13,FALSE,"22411",4.13,1
2011-01-13,FALSE,"85099B",4.13,9
2011-01-13,FALSE,"85099F",4.13,1
2011-01-13,TRUE,"21928",1.95,12
2011-01-13,TRUE,"21931",1.95,2
2011-01-13,TRUE,"22385",1.65,100
2011-01-13,TRUE,"22386",1.95,13
2011-01-13,TRUE,"22411",1.95,2
2011-01-13,TRUE,"85099B",1.95,24
2011-01-13,TRUE,"85099C",1.95,15
2011-01-13,TRUE,"85099F",1.65,100
2011-01-13,TRUE,"85099F",1.95,10
2011-01-14,FALSE,"20711",4.13,8
2011-01-14,FALSE,"20712",4.13,1
2011-01-14,FALSE,"21033",2.46,10
2011-01-14,FALSE,"21033",5.38,1
2011-01-14,FALSE,"21928",4.96,10
2011-01-14,FALSE,"21929",4.13,1
2011-01-14,FALSE,"21929",4.96,18
2011-01-14,FALSE,"21930",4.13,8
2011-01-14,FALSE,"21931",4.13,1
2011-01-14,FALSE,"21931",4.96,34
2011-01-14,FALSE,"22386",4.96,24
2011-01-14,FALSE,"22411",4.13,27
2011-01-14,FALSE,"85099B",4.13,30
2011-01-14,FALSE,"85099F",4.13,1
2011-01-14,TRUE,"20711",1.95,30
2011-01-14,TRUE,"20712",1.95,30
2011-01-14,TRUE,"20713",1.95,10
2011-01-14,TRUE,"21928",1.95,20
2011-01-14,TRUE,"21929",1.95,10
2011-01-14,TRUE,"21930",1.95,30
2011-01-14,TRUE,"21931",1.65,100
2011-01-14,TRUE,"21931",1.95,40
2011-01-14,TRUE,"22385",1.95,40
2011-01-14,TRUE,"22386",1.95,40
2011-01-14,TRUE,"22411",1.95,30
2011-01-14,TRUE,"22663",1.95,30
2011-01-14,TRUE,"85099B",1.95,90
2011-01-14,TRUE,"85099C",1.95,20
2011-01-14,TRUE,"85099F",1.95,20
2011-01-16,TRUE,"20711",1.95,5
2011-01-16,TRUE,"20712",1.95,3
2011-01-16,TRUE,"20713",1.95,12
2011-01-16,TRUE,"21928",1.95,17
2011-01-16,TRUE,"21929",1.95,13
2011-01-16,TRUE,"21930",1.95,10
2011-01-16,TRUE,"21931",1.95,14
2011-01-16,TRUE,"22385",1.95,10
2011-01-16,TRUE,"22386",1.95,13
2011-01-16,TRUE,"22411",1.95,10
2011-01-16,TRUE,"85099B",1.95,10
2011-01-16,TRUE,"85099C",1.95,21
2011-01-16,TRUE,"85099F",1.95,3
2011-01-17,FALSE,"20711",4.13,4
2011-01-17,FALSE,"20712",4.13,2
2011-01-17,FALSE,"20713",4.13,2
2011-01-17,FALSE,"21033",2.46,43
2011-01-17,FALSE,"21928",4.13,1
2011-01-17,FALSE,"21929",4.13,2
2011-01-17,FALSE,"21930",4.13,2
2011-01-17,FALSE,"21931",4.13,1
2011-01-17,FALSE,"22385",4.13,1
2011-01-17,FALSE,"22386",4.13,1
2011-01-17,FALSE,"22411",4.13,4
2011-01-17,FALSE,"85099B",4.13,12
2011-01-17,FALSE,"85099F",4.13,3
2011-01-17,TRUE,"20712",1.95,10
2011-01-17,TRUE,"20713",1.65,100
2011-01-17,TRUE,"20713",1.95,2
2011-01-17,TRUE,"21928",1.95,2
2011-01-17,TRUE,"21929",1.95,20
2011-01-17,TRUE,"21930",1.95,12
2011-01-17,TRUE,"21931",1.95,10
2011-01-17,TRUE,"22385",1.95,10
2011-01-17,TRUE,"22386",1.95,20
2011-01-17,TRUE,"22411",1.95,2
2011-01-17,TRUE,"85099B",1.95,25
2011-01-17,TRUE,"85099C",1.95,20
2011-01-17,TRUE,"85099F",1.95,22
2011-01-18,FALSE,"20711",4.13,7
2011-01-18,FALSE,"20712",4.13,10
2011-01-18,FALSE,"20713",4.13,2
2011-01-18,FALSE,"21033",2.46,17
2011-01-18,FALSE,"21928",4.13,2
2011-01-18,FALSE,"21928",4.96,7
2011-01-18,FALSE,"21929",4.96,3
2011-01-18,FALSE,"21930",4.13,25
2011-01-18,FALSE,"21931",4.13,3
2011-01-18,FALSE,"21931",4.96,27
2011-01-18,FALSE,"22385",4.96,6
2011-01-18,FALSE,"22386",4.13,2
2011-01-18,FALSE,"22386",4.96,4
2011-01-18,FALSE,"22411",4.13,7
2011-01-18,FALSE,"22411",4.96,21
2011-01-18,FALSE,"85099B",4.13,14
2011-01-18,FALSE,"85099F",4.13,1
2011-01-18,TRUE,"20711",1.95,2
2011-01-18,TRUE,"20713",1.95,50
2011-01-18,TRUE,"21928",1.95,53
2011-01-18,TRUE,"21929",1.95,5
2011-01-18,TRUE,"22385",1.95,50
2011-01-18,TRUE,"22386",1.95,2
2011-01-18,TRUE,"22411",1.95,3
2011-01-18,TRUE,"85099B",1.95,73
2011-01-18,TRUE,"85099F",1.95,4
2011-01-19,FALSE,"20712",4.13,1
2011-01-19,FALSE,"21033",2.46,7
2011-01-19,FALSE,"21930",4.13,1
2011-01-19,FALSE,"22386",4.13,2
